,treino,previsto
gamma1,[0.5628688113018914],[0.5622713565826416]
gamma2,[0.1447411064167936],[0.14498277008533478]
gamma3,[0.6212680126015702],[0.6206132769584656]
gamma4,[0.9354403775856178],[0.9339554905891418]
JXX,[-0.2505554106105863],[-0.2506822347640991]
JXY,[0.1001806372651497],[0.1011519655585289]
JXZ,[0.6830199055618982],[0.6826874613761902]
JYX,[0.9856124726433224],[0.9834169149398804]
JYY,[0.8570814910534756],[0.8563632965087891]
JYZ,[0.8766170981231314],[0.8765476942062378]
JZX,[-0.891220563811497],[-0.8904407024383545]
JZY,[-0.5173986975921827],[-0.5171732306480408]
JZZ,[0.8920340765929551],[0.8913474082946777]
JIX,[-0.45701777348010886],[-0.45609402656555176]
JIY,[0.08381318894888312],[0.08293414115905762]
JIZ,[0.41626068745402045],[0.41504648327827454]
JXI,[0.917191422295486],[0.9172958731651306]
JYI,[-0.2618426626154975],[-0.2601943612098694]
JZI,[0.06558319034107951],[0.06509028375148773]
