,treino,previsto
gamma1,[0.465937574267109],[0.40874630212783813]
gamma2,[0.4306967863428379],[0.3170037567615509]
gamma3,[0.005389255905331569],[-0.01657855696976185]
gamma4,[0.5624015709181892],[0.5164011120796204]
JIX,[-0.6008225872917998],[-0.3927409052848816]
JIY,[0.23010520368993959],[0.07163355499505997]
JIZ,[-0.7857793521751026],[-0.9041218161582947]
JXI,[0.8103557816972058],[0.7199526429176331]
JYI,[-0.6158465411883403],[-0.512850821018219]
JZI,[-0.07755771611098128],[0.047442514449357986]
JXX,[0.5424739695589225],[0.5661726593971252]
JXY,[0.8158004931533465],[0.7889137268066406]
JXZ,[0.16443652246127072],[0.05410124734044075]
JYX,[0.3624441530787714],[0.2519224286079407]
JYY,[0.07276205494110943],[-0.0783580020070076]
JYZ,[0.692585565702907],[0.6497910618782043]
JZX,[-0.5508338991250497],[-0.5797086954116821]
JZY,[0.36813535669462083],[0.292711466550827]
JZZ,[0.2025907571809149],[0.2042759209871292]
