,treino,previsto
gamma1,[0.7976834640931965],[0.5430798530578613]
gamma2,[0.6715515831338204],[0.4558201730251312]
gamma3,[0.04510972210455566],[-0.06683947145938873]
gamma4,[0.4658771443546851],[0.32280054688453674]
JIX,[0.09360310707326613],[0.24534788727760315]
JIY,[-0.751762199047689],[-0.8417804837226868]
JIZ,[-0.439812774919055],[-0.06294570863246918]
JXI,[-0.13859556840738407],[-0.3930794596672058]
JYI,[-0.9662104295599947],[-0.6296767592430115]
JZI,[-0.0036095623537208965],[0.005521325394511223]
JXX,[0.9040597871742617],[0.7630062103271484]
JXY,[-0.14288133986122675],[-0.38881734013557434]
JXZ,[0.6680513959234107],[0.14790159463882446]
JYX,[0.9200527003028165],[0.3698265850543976]
JYY,[-0.9591939086411334],[-0.6282248497009277]
JYZ,[-0.9739188441020281],[-0.7198424935340881]
JZX,[-0.12798590426185763],[-0.1985895335674286]
JZY,[0.9198433596040032],[0.7827277779579163]
JZZ,[-0.09101376905350467],[0.1744077354669571]
