,treino,previsto
gamma1,[0.752661321489852],[0.6753327250480652]
gamma2,[0.08640318215808296],[0.07007354497909546]
gamma3,[0.06123324013652631],[0.008557186461985111]
gamma4,[0.2552168722437148],[0.29872822761535645]
JIX,[0.057870765880824626],[0.09330052137374878]
JIY,[0.1714937094997233],[0.27308550477027893]
JIZ,[0.6866524104671512],[0.772284209728241]
JXI,[0.7972892825291862],[0.6441240310668945]
JYI,[0.7643730549373535],[0.8495017886161804]
JZI,[-0.27060839601498476],[-0.2709257900714874]
JXX,[0.897680879601374],[0.925552487373352]
JXY,[-0.15185093946021722],[-0.03969806060194969]
JXZ,[-0.3876324692199542],[-0.35056984424591064]
JYX,[-0.810934207081069],[-0.7835745811462402]
JYY,[0.02335624132357239],[0.08100723475217819]
JYZ,[-0.6903533027098527],[-0.9126659035682678]
JZX,[-0.45154086728282516],[-0.4292778968811035]
JZY,[0.22117069365781794],[0.33075428009033203]
JZZ,[0.5527549260102405],[0.6171872019767761]
