,treino,previsto
gamma1,[0.11290250837191795],[0.10720517486333847]
gamma2,[0.5283496285730391],[0.4975315034389496]
gamma3,[0.8586548576898659],[0.9441649317741394]
gamma4,[0.7976692295510386],[0.8605489730834961]
JIX,[-0.170512001382642],[-0.32555657625198364]
JIY,[-0.424599654760373],[-0.5643478035926819]
JIZ,[0.6894246819607532],[1.5206313133239746]
JXI,[-0.11245795401256231],[-0.3896279036998749]
JYI,[0.05745311741676429],[-0.014913528226315975]
JZI,[0.10251839349884273],[0.10522865504026413]
JXX,[-0.3221938636021444],[-0.199349045753479]
JXY,[0.2789912288854657],[0.36783885955810547]
JXZ,[0.8000753853551041],[0.541378915309906]
JYX,[-0.8560194986251837],[-1.024931788444519]
JYY,[0.12183085780051806],[0.2936477065086365]
JYZ,[-0.4719160020823525],[-0.5871770977973938]
JZX,[0.31134434749686246],[0.22117921710014343]
JZY,[0.24676066182700374],[0.26668646931648254]
JZZ,[-0.9085213503711735],[-0.9501481056213379]
