,treino,previsto
gamma1,[0.6486196600598926],[0.6485453844070435]
gamma2,[0.3600039055970481],[0.35996687412261963]
gamma3,[0.7436517163788576],[0.7435052990913391]
gamma4,[0.3870233101693551],[0.3870921730995178]
JXX,[-0.012052371670506545],[-0.011946378275752068]
JXY,[-0.7209990500522725],[-0.7208349108695984]
JXZ,[-0.974270856363531],[-0.9741083383560181]
JYX,[-0.8303830380614758],[-0.8302605152130127]
JYY,[-0.4467194556101548],[-0.4465537369251251]
JYZ,[-0.6123969250196721],[-0.6121825575828552]
JZX,[0.1360202390272387],[0.13602794706821442]
JZY,[0.058337161073580335],[0.05822081118822098]
JZZ,[-0.6104254479830256],[-0.6103674173355103]
JIX,[0.5203229566195489],[0.5202311873435974]
JIY,[0.027633204606499318],[0.027582868933677673]
JIZ,[0.9942043682387769],[0.993995726108551]
JXI,[0.07844212328817135],[0.07824313640594482]
JYI,[0.8711112121391873],[0.8709268569946289]
JZI,[-0.7433546640431199],[-0.7431983947753906]
