,treino,previsto
gamma1,[0.12640920672312728],[0.1547127664089203]
gamma2,[0.009410839419584538],[0.00013565272092819214]
gamma3,[0.7306841520443098],[0.7464487552642822]
gamma4,[0.8428419545513766],[0.8279664516448975]
JIX,[-0.8451564322933918],[-0.9182754158973694]
JIY,[-0.5727664210700234],[-0.5434401631355286]
JIZ,[-0.39374332579442917],[-0.12239927798509598]
JXI,[0.8004273658662282],[0.5571504831314087]
JYI,[-0.00749501549718401],[-0.11131598800420761]
JZI,[0.4404811417840462],[0.3715924024581909]
JXX,[-0.7995292644989436],[-0.7283704280853271]
JXY,[0.01785411432893702],[-0.08984796702861786]
JXZ,[0.686145857826806],[0.3909168541431427]
JYX,[0.04559862152587302],[0.12592926621437073]
JYY,[0.8894015102484911],[0.9083340764045715]
JYZ,[0.7636002670045339],[0.5966978073120117]
JZX,[-0.25807865558248366],[-0.30083733797073364]
JZY,[-0.9985078045366769],[-0.7904994487762451]
JZZ,[0.5105343726506062],[0.45075905323028564]
