,treino,previsto
gamma1,[0.6356198271421528],[0.6945565342903137]
gamma2,[0.3012944565249175],[0.286848247051239]
gamma3,[0.30925941853405303],[0.29927605390548706]
gamma4,[0.49610056652766343],[0.5561555027961731]
JIX,[0.1406568462737463],[0.12824714183807373]
JIY,[0.2644659911575571],[0.2943871319293976]
JIZ,[0.634007719766547],[0.6659688353538513]
JXI,[-0.44541829110731035],[-0.5196571350097656]
JYI,[0.30371993601715563],[0.3299713432788849]
JZI,[0.7816219111185623],[0.8551242351531982]
JXX,[0.8176570464277362],[0.8964918255805969]
JXY,[-0.626974881004831],[-0.6631312370300293]
JXZ,[0.30345421888232527],[0.2976912558078766]
JYX,[0.23423455571393448],[0.2369113266468048]
JYY,[0.00678767742209474],[0.022882334887981415]
JYZ,[0.9323959303949194],[0.9474713206291199]
JZX,[0.05653244973667082],[0.025603586807847023]
JZY,[-0.10949180599742303],[-0.07880581170320511]
JZZ,[0.8871223132747139],[0.8885446786880493]
