,treino,previsto
gamma1,[0.4606660816810936],[0.46044349670410156]
gamma2,[0.961985163786831],[0.9615114331245422]
gamma3,[0.17655246550171377],[0.17651107907295227]
gamma4,[0.6047448911757226],[0.604769766330719]
JIX,[-0.08278658122587723],[-0.0821906253695488]
JIY,[0.75573580747802],[0.7563366293907166]
JIZ,[-0.936307039182035],[-0.9353838562965393]
JXI,[-0.43514770769241484],[-0.4347879886627197]
JYI,[0.9235823398396055],[0.9226446747779846]
JZI,[0.32863746890923196],[0.3276984989643097]
JXX,[-0.7432552611528482],[-0.7424430251121521]
JXY,[-0.3032215345335192],[-0.30338215827941895]
JXZ,[0.7594986370688406],[0.7588058710098267]
JYX,[-0.11847555907257856],[-0.11784632503986359]
JYY,[-0.9427359472588261],[-0.9415373206138611]
JYZ,[0.7923633416986142],[0.7924594283103943]
JZX,[-0.7402518531783084],[-0.7396793961524963]
JZY,[0.2825321585235483],[0.2825948894023895]
JZZ,[0.23915971379161394],[0.24002790451049805]
