,treino,previsto
gamma1,[0.149835057407401],[0.14969003200531006]
gamma2,[0.7231696718848062],[0.7221858501434326]
gamma3,[0.16751077963049055],[0.1673370748758316]
gamma4,[0.654655200922515],[0.6533109545707703]
JXX,[0.10611895139196825],[0.1057664155960083]
JXY,[-0.2329118720894543],[-0.23277832567691803]
JXZ,[0.46324841325362565],[0.4629061222076416]
JYX,[0.15285591795039477],[0.15287137031555176]
JYY,[0.562419135109645],[0.5618165135383606]
JYZ,[0.3231619447148433],[0.32281118631362915]
JZX,[0.6785960349192279],[0.677859365940094]
JZY,[-0.12121097819798488],[-0.12118315696716309]
JZZ,[-0.6899011584123196],[-0.6885734796524048]
JIX,[-0.23795862000845713],[-0.2379031777381897]
JIY,[-0.5385616273790497],[-0.5372027158737183]
JIZ,[-0.6679265513717296],[-0.6653093695640564]
JXI,[0.8276668695454259],[0.8266428709030151]
JYI,[0.155878050571864],[0.15578016638755798]
JZI,[0.38026531463053437],[0.37893587350845337]
