,treino,previsto
gamma1,[0.12640920672312728],[0.12823888659477234]
gamma2,[0.009410839419584538],[0.008215815760195255]
gamma3,[0.7306841520443098],[0.7425587177276611]
gamma4,[0.8428419545513766],[0.8475780487060547]
JIX,[-0.8451564322933918],[-0.8615264296531677]
JIY,[-0.5727664210700234],[-0.5820110440254211]
JIZ,[-0.39374332579442917],[-0.3612281084060669]
JXI,[0.8004273658662282],[0.7500189542770386]
JYI,[-0.00749501549718401],[-0.009431370534002781]
JZI,[0.4404811417840462],[0.4248931109905243]
JXX,[-0.7995292644989436],[-0.7814821600914001]
JXY,[0.01785411432893702],[-0.00608364911749959]
JXZ,[0.686145857826806],[0.6439216136932373]
JYX,[0.04559862152587302],[0.048047132790088654]
JYY,[0.8894015102484911],[0.9082657694816589]
JYZ,[0.7636002670045339],[0.7363102436065674]
JZX,[-0.25807865558248366],[-0.26489052176475525]
JZY,[-0.9985078045366769],[-0.956741452217102]
JZZ,[0.5105343726506062],[0.5097244381904602]
