,treino,previsto
gamma1,[0.951939128259082],[0.9101773500442505]
gamma2,[0.8467770172755084],[0.8118146061897278]
gamma3,[0.37265643819973215],[0.3947424590587616]
gamma4,[0.8090952493694098],[0.8389028310775757]
JIX,[-0.5926591051578969],[-0.7705000042915344]
JIY,[-0.814613156303337],[-0.8078587055206299]
JIZ,[0.3189600046665215],[0.261157751083374]
JXI,[0.17225884362757293],[0.13220225274562836]
JYI,[0.26881842145966495],[0.32522571086883545]
JZI,[-0.29030610911584054],[0.16333213448524475]
JXX,[-0.0974703196240907],[-0.07842975854873657]
JXY,[0.7767386580946491],[0.5254653096199036]
JXZ,[0.635838140646408],[0.4993555545806885]
JYX,[-0.4705454932396085],[-0.3743458688259125]
JYY,[-0.4543397669530467],[-0.4252702593803406]
JYZ,[-0.8514402725273611],[-0.8472896814346313]
JZX,[0.4630963972794697],[0.28394466638565063]
JZY,[-0.9179128262695495],[-0.790865421295166]
JZZ,[0.3581159954508317],[0.33665090799331665]
