,treino,previsto
gamma1,[0.8620792033230213],[0.8454368710517883]
gamma2,[0.6417943230689989],[0.5393131971359253]
gamma3,[0.6336250886311446],[0.4815506041049957]
gamma4,[0.164948954154845],[0.12095370888710022]
JIX,[-0.1579107714267074],[-0.24960152804851532]
JIY,[0.12982945963868775],[0.33654457330703735]
JIZ,[0.1162808953521044],[-0.13293136656284332]
JXI,[0.17770025530371414],[0.39407050609588623]
JYI,[0.6015631527261587],[0.5900564193725586]
JZI,[0.9337535631262239],[0.6338324546813965]
JXX,[0.34522097948514796],[0.3471543490886688]
JXY,[0.6176103665600245],[0.6132639050483704]
JXZ,[0.14054965261621977],[0.37886154651641846]
JYX,[-0.057005328552494294],[-0.14586059749126434]
JYY,[0.6766620402066199],[0.7196876406669617]
JYZ,[0.9918981802172229],[0.9745610952377319]
JZX,[0.14516441029200244],[-0.0711413100361824]
JZY,[0.2620772322779299],[0.3277837038040161]
JZZ,[-0.8756951236202168],[-1.2200570106506348]
