,treino,previsto
gamma1,[0.32611987261685993],[0.32620969414711]
gamma2,[0.07355343057826824],[0.07347641885280609]
gamma3,[0.8415228969062091],[0.8416455984115601]
gamma4,[0.6172199559140832],[0.6172533631324768]
JIX,[-0.1829282414910125],[-0.1829802542924881]
JIY,[0.0839440182091924],[0.08392421901226044]
JIZ,[0.7240732329585464],[0.7239618897438049]
JXI,[-0.6466687116091123],[-0.6466903686523438]
JYI,[-0.5496809588437066],[-0.5497391819953918]
JZI,[-0.9418054934637778],[-0.9418233036994934]
JXX,[-0.7666989331142724],[-0.7667268514633179]
JXY,[-0.9823887482258662],[-0.9824693202972412]
JXZ,[-0.6866193298332723],[-0.6865480542182922]
JYX,[0.02742641700535131],[0.02733641490340233]
JYY,[0.9789858207551021],[0.9790607690811157]
JYZ,[0.38702052286287625],[0.3870221674442291]
JZX,[-0.24314685775343814],[-0.24312803149223328]
JZY,[-0.18990452936148783],[-0.1900174915790558]
JZZ,[0.3826192568247586],[0.3826514184474945]
