,treino,previsto
gamma1,[0.24226755574639336],[0.26430922746658325]
gamma2,[0.3055582060124523],[0.23196914792060852]
gamma3,[0.2523120847554935],[0.2619050443172455]
gamma4,[0.41210709911609533],[0.40771201252937317]
JIX,[-0.6109255041336379],[-0.6124714612960815]
JIY,[0.6121546029321616],[0.5508210062980652]
JIZ,[-0.25588029746786645],[-0.2362494170665741]
JXI,[0.6840539845332714],[0.641260027885437]
JYI,[0.5925904370985218],[0.5141525268554688]
JZI,[0.1486956182422896],[0.1563524305820465]
JXX,[0.11579696496935821],[0.16068635880947113]
JXY,[-0.9168161896383005],[-1.0317833423614502]
JXZ,[0.7764692864270932],[0.6991929411888123]
JYX,[0.630126152520613],[0.7827911376953125]
JYY,[-0.2637592699233906],[-0.10477206856012344]
JYZ,[-0.8583209270734289],[-0.9024890661239624]
JZX,[-0.12423623395790906],[-0.1302042156457901]
JZY,[0.3453540669849615],[0.3317234516143799]
JZZ,[0.6439525830042963],[0.8015634417533875]
