,treino,previsto
gamma1,[0.5277693445209781],[0.5117092132568359]
gamma2,[0.9678965934609308],[0.9384937882423401]
gamma3,[0.9345193264078987],[0.9140224456787109]
gamma4,[0.09292144624864485],[0.09255436062812805]
JXX,[0.16746097114721215],[0.17141464352607727]
JXY,[0.8943990439534582],[0.8658534288406372]
JXZ,[-0.9356372202874645],[-0.9051328301429749]
JYX,[-0.8621126594669188],[-0.8314969539642334]
JYY,[-0.35983168136833243],[-0.34235724806785583]
JYZ,[0.6501840361127005],[0.6142351627349854]
JZX,[0.6862991754840158],[0.6815142631530762]
JZY,[-0.729217640330404],[-0.7062845826148987]
JZZ,[0.8390800400871314],[0.816983163356781]
JIX,[0.7765361529049761],[0.7613319158554077]
JIY,[-0.20001120805797412],[-0.18848995864391327]
JIZ,[0.17724036554846423],[0.1541428118944168]
JXI,[0.7195733470855228],[0.7217695116996765]
JYI,[-0.5429215932707987],[-0.5281411409378052]
JZI,[0.03143456804703959],[0.000828888441901654]
