,treino,previsto
gamma1,[0.9562050372570121],[0.9550631046295166]
gamma2,[0.25350600496212594],[0.25379854440689087]
gamma3,[0.8935407039073096],[0.8902744650840759]
gamma4,[0.8076368242952832],[0.8006950616836548]
JXX,[-0.48228923621984343],[-0.4780559837818146]
JXY,[0.2699918482069683],[0.2703145444393158]
JXZ,[-0.97974325274531],[-0.9774656295776367]
JYX,[-0.39591259040070836],[-0.3956094980239868]
JYY,[-0.32987329860456205],[-0.3269532322883606]
JYZ,[-0.7160989649343319],[-0.7156256437301636]
JZX,[0.4868285000638355],[0.4829404056072235]
JZY,[-0.3797834959301094],[-0.37757572531700134]
JZZ,[0.5784839871578018],[0.5747843384742737]
JIX,[-0.2769544501718497],[-0.27416035532951355]
JIY,[-0.039038668797412024],[-0.03876306489109993]
JIZ,[-0.16609474678867042],[-0.16272707283496857]
JXI,[-0.10648149243215355],[-0.10406623780727386]
JYI,[-0.1809685401002077],[-0.1805889755487442]
JZI,[0.31541165278854155],[0.3125614821910858]
