,treino,previsto
gamma1,[0.7547543800675904],[0.7543237805366516]
gamma2,[0.7663789974861774],[0.7660536170005798]
gamma3,[0.08742803931759291],[0.08747321367263794]
gamma4,[0.9927014610359678],[0.9924485683441162]
JXX,[0.4847330814617574],[0.48439422249794006]
JXY,[-0.069108702867124],[-0.06905577331781387]
JXZ,[0.654012639158295],[0.6535876393318176]
JYX,[-0.5126541824952315],[-0.5120629072189331]
JYY,[0.2065909779120334],[0.20658078789710999]
JYZ,[-0.2588586539007094],[-0.2587212026119232]
JZX,[-0.019133266542065597],[-0.018896548077464104]
JZY,[0.9278939782306672],[0.9274978041648865]
JZZ,[-0.5667219849454446],[-0.5669136047363281]
JIX,[-0.8329589576928287],[-0.8318871855735779]
JIY,[-0.6552513842656074],[-0.6548831462860107]
JIZ,[0.3676231008548627],[0.36779263615608215]
JXI,[-0.6772806584499753],[-0.6770499348640442]
JYI,[0.8984180459228328],[0.8980304002761841]
JZI,[0.6886560437412614],[0.6879379153251648]
