,treino,previsto
gamma1,[0.041880336369846005],[0.047448303550481796]
gamma2,[0.9821934207987782],[0.9479219913482666]
gamma3,[0.9647577811255668],[0.968633770942688]
gamma4,[0.6539225335338404],[0.648314893245697]
JIX,[-0.09524089298036276],[-0.07485782355070114]
JIY,[0.11954477216099191],[0.1744123101234436]
JIZ,[0.8484211680474587],[0.8169183731079102]
JXI,[-0.06869985980045334],[-0.025996526703238487]
JYI,[0.01568254612454223],[0.010494430549442768]
JZI,[0.1747696576997939],[0.18478389084339142]
JXX,[-0.6306793122902468],[-0.6390239000320435]
JXY,[0.023817278083611004],[0.023586628958582878]
JXZ,[0.25976544043360383],[0.31877753138542175]
JYX,[0.5859537450399053],[0.5239307284355164]
JYY,[-0.8117530875415631],[-0.791542649269104]
JYZ,[-0.393197474750949],[-0.3623127341270447]
JZX,[-0.8186589250163212],[-0.8391216993331909]
JZY,[0.6192890687343551],[0.6384974718093872]
JZZ,[0.38687696508247815],[0.4979602098464966]
