,treino,previsto
gamma1,[0.32815001334865257],[0.3282106816768646]
gamma2,[0.2737581923538134],[0.2737776041030884]
gamma3,[0.6737605112059536],[0.6734204292297363]
gamma4,[0.9727359863624989],[0.9719933867454529]
JXX,[-0.849123527714404],[-0.8484154939651489]
JXY,[-0.5949888037030053],[-0.5942904353141785]
JXZ,[-0.8521523054463589],[-0.8510951995849609]
JYX,[0.25641529719452016],[0.2556736469268799]
JYY,[0.6850666514970689],[0.6846817135810852]
JYZ,[0.2223887601504444],[0.22222787141799927]
JZX,[-0.555055593525728],[-0.5547695755958557]
JZY,[0.6900198748973474],[0.6894890666007996]
JZZ,[0.7430289704795401],[0.7423720955848694]
JIX,[-0.10972154968635439],[-0.10962388664484024]
JIY,[-0.4118230353222292],[-0.4113987684249878]
JIZ,[0.8188577481051011],[0.8174036145210266]
JXI,[-0.031387304368323043],[-0.030980892479419708]
JYI,[-0.8259080739809848],[-0.8251044154167175]
JZI,[0.4999159288187607],[0.4992382526397705]
