,treino,previsto
gamma1,[0.5739411879281008],[0.6017780900001526]
gamma2,[0.013114189588902203],[0.006260465830564499]
gamma3,[0.21672980046384815],[0.21484413743019104]
gamma4,[0.2794823660111103],[0.2757314145565033]
JIX,[0.24580338977940386],[0.29973092675209045]
JIY,[0.4835739785214588],[0.4839989244937897]
JIZ,[0.5903871311313933],[0.6265876293182373]
JXI,[0.8849005675541006],[0.9679815769195557]
JYI,[0.4797971494798614],[0.5414810180664062]
JZI,[0.844649993330834],[0.8246559500694275]
JXX,[-0.9419895434327705],[-0.8864096999168396]
JXY,[-0.0687546912437893],[-0.15748284757137299]
JXZ,[0.8867134339966274],[0.9130427241325378]
JYX,[0.2979491062738484],[0.28806406259536743]
JYY,[0.8018009835012454],[0.7721914052963257]
JYZ,[-0.7735880706937113],[-0.7426005005836487]
JZX,[-0.06186190443567252],[-0.0009338630479760468]
JZY,[-0.5068543347603394],[-0.5132981538772583]
JZZ,[0.08752171847186085],[0.06946232914924622]
