,treino,previsto
gamma1,[0.11559376141555855],[0.09046928584575653]
gamma2,[0.5168944758821384],[0.5905783772468567]
gamma3,[0.9581608361848446],[0.8810371160507202]
gamma4,[0.7391495693118509],[0.6576153039932251]
JIX,[0.42468597565383703],[0.5607712268829346]
JIY,[0.6795994726237466],[0.6447059512138367]
JIZ,[-0.6348162260909651],[-0.5347391366958618]
JXI,[0.9965652550359014],[0.8036196231842041]
JYI,[-0.6118090425525051],[-0.7130032777786255]
JZI,[0.34177346053199664],[0.561764121055603]
JXX,[-0.8164267732816153],[-0.8164671659469604]
JXY,[0.5154739618114095],[0.4607203006744385]
JXZ,[-0.6973994850161125],[-0.8469400405883789]
JYX,[0.41312937860744503],[0.3365413546562195]
JYY,[0.44889865699678344],[0.33523690700531006]
JYZ,[0.5318855645166582],[0.2024400383234024]
JZX,[-0.11724448997139492],[0.005123695358633995]
JZY,[0.7315447884951349],[0.6646749973297119]
JZZ,[0.9758178984400172],[1.2361807823181152]
