,treino,previsto
gamma1,[0.15715716159662585],[0.11635866016149521]
gamma2,[0.23801220246653276],[0.1976276934146881]
gamma3,[0.11094752797801466],[0.12093187123537064]
gamma4,[0.5062690516689823],[0.4857501685619354]
JIX,[-0.0739852843699571],[-0.03524734452366829]
JIY,[-0.2533761372099159],[-0.32368749380111694]
JIZ,[-0.7229211749710895],[-0.4273747503757477]
JXI,[0.7331236999726827],[0.8248464465141296]
JYI,[-0.9871298918377533],[-0.9765909314155579]
JZI,[0.005564160104416738],[-0.12930773198604584]
JXX,[0.7965959400638762],[1.1862722635269165]
JXY,[-0.838370705633998],[-0.8645833134651184]
JXZ,[0.10854093635657214],[-0.19099955260753632]
JYX,[0.2333000853672369],[0.1860044300556183]
JYY,[-0.9182084690303769],[-0.6287261843681335]
JYZ,[-0.2419607912091286],[-0.2678520381450653]
JZX,[0.4069607845874941],[0.6418229937553406]
JZY,[-0.09595815909994854],[-0.09031198173761368]
JZZ,[0.4501307371644181],[0.7053803205490112]
