,treino,previsto
gamma1,[0.22199627351205975],[0.22197377681732178]
gamma2,[0.8090248481419567],[0.8089114427566528]
gamma3,[0.44702127627294486],[0.44686269760131836]
gamma4,[0.7724015287710279],[0.7721052765846252]
JIX,[-0.8531466903953369],[-0.8520845770835876]
JIY,[0.1887238582724753],[0.18863585591316223]
JIZ,[0.9788939235548184],[0.9780507683753967]
JXI,[-0.31203169079243565],[-0.3115747272968292]
JYI,[0.08794858485146739],[0.088243268430233]
JZI,[-0.25131913562220887],[-0.2515367567539215]
JXX,[0.47920496341231167],[0.4784662425518036]
JXY,[0.37092763164172804],[0.37093818187713623]
JXZ,[0.1974549908787],[0.1974964141845703]
JYX,[0.9521627573684557],[0.9518126845359802]
JYY,[0.40583116852207146],[0.4054562747478485]
JYZ,[-0.314340722076323],[-0.31393417716026306]
JZX,[-0.24010228897073405],[-0.23929433524608612]
JZY,[0.2672760341622098],[0.26710623502731323]
JZZ,[0.3840317846476238],[0.3831884264945984]
