,treino,previsto
gamma1,[0.5277693445209781],[0.5437110066413879]
gamma2,[0.9678965934609308],[0.9516676664352417]
gamma3,[0.9345193264078987],[0.9560216069221497]
gamma4,[0.09292144624864485],[0.10052178800106049]
JIX,[0.7765361529049761],[0.8068075180053711]
JIY,[-0.20001120805797412],[-0.2408917397260666]
JIZ,[0.17724036554846423],[0.16945651173591614]
JXI,[0.7195733470855228],[0.7601723074913025]
JYI,[-0.5429215932707987],[-0.5324373245239258]
JZI,[0.03143456804703959],[0.07310861349105835]
JXX,[0.16746097114721215],[0.18728505074977875]
JXY,[0.8943990439534582],[0.8972216248512268]
JXZ,[-0.9356372202874645],[-0.9312053322792053]
JYX,[-0.8621126594669188],[-0.8511338829994202]
JYY,[-0.35983168136833243],[-0.31572622060775757]
JYZ,[0.6501840361127005],[0.6644698977470398]
JZX,[0.6862991754840158],[0.7323046922683716]
JZY,[-0.729217640330404],[-0.766007661819458]
JZZ,[0.8390800400871314],[0.8642441034317017]
