,treino,previsto
gamma1,[0.7680181487450805],[0.8117745518684387]
gamma2,[0.20386952877685705],[0.21463385224342346]
gamma3,[0.17846076295399127],[0.1143803820014]
gamma4,[0.18859491417448548],[0.15408122539520264]
JIX,[-0.7086614897917394],[-0.5550224781036377]
JIY,[-0.0901459909719573],[0.1219840794801712]
JIZ,[0.5415676113180443],[0.5695502161979675]
JXI,[0.4110264538680559],[0.28408002853393555]
JYI,[0.4639179460665115],[0.5787367224693298]
JZI,[-0.1329711302091925],[-0.3947902321815491]
JXX,[0.6000409142668555],[0.7629148364067078]
JXY,[0.0658028292851427],[0.079232357442379]
JXZ,[-0.8396925816429961],[-1.001702070236206]
JYX,[-0.08810823763286568],[-0.12136209011077881]
JYY,[-0.9042249670801166],[-0.8248339295387268]
JYZ,[0.865924800150101],[0.8801331520080566]
JZX,[0.8941560120058878],[1.0252162218093872]
JZY,[-0.3292984481199799],[-0.15284715592861176]
JZZ,[-0.38118814171993165],[-0.379613995552063]
