,treino,previsto
gamma1,[0.5123190504571955],[0.5115404725074768]
gamma2,[0.7944608177634946],[0.793811559677124]
gamma3,[0.6249799602888791],[0.6154836416244507]
gamma4,[0.8248125234140684],[0.8079530596733093]
JXX,[-0.9152157476835985],[-0.9045057892799377]
JXY,[0.9059441202489178],[0.8797206282615662]
JXZ,[-0.4886326635670657],[-0.48665088415145874]
JYX,[-0.388198039461112],[-0.38401299715042114]
JYY,[-0.15183968698754158],[-0.14507323503494263]
JYZ,[0.17702802805051898],[0.1701243370771408]
JZX,[-0.7512167010322528],[-0.7475982308387756]
JZY,[0.37335460974244605],[0.35405680537223816]
JZZ,[0.6644810467531526],[0.6427378058433533]
JIX,[-0.24607539521922805],[-0.25713956356048584]
JIY,[0.8535770154526414],[0.8294232487678528]
JIZ,[0.6868934782644844],[0.63365638256073]
JXI,[-0.5719084600959132],[-0.5716566443443298]
JYI,[0.7434162244908751],[0.7372565865516663]
JZI,[0.2729234915013832],[0.2424112856388092]
