,treino,previsto
gamma1,[0.4606660816810936],[0.4953283965587616]
gamma2,[0.961985163786831],[0.8946073055267334]
gamma3,[0.17655246550171377],[0.168314129114151]
gamma4,[0.6047448911757226],[0.5808221697807312]
JIX,[-0.08278658122587723],[-0.039101216942071915]
JIY,[0.75573580747802],[0.8246796131134033]
JIZ,[-0.936307039182035],[-1.015682339668274]
JXI,[-0.43514770769241484],[-0.4972299039363861]
JYI,[0.9235823398396055],[0.9714457988739014]
JZI,[0.32863746890923196],[0.42051219940185547]
JXX,[-0.7432552611528482],[-0.648014485836029]
JXY,[-0.3032215345335192],[-0.3609568774700165]
JXZ,[0.7594986370688406],[0.7348966002464294]
JYX,[-0.11847555907257856],[-0.10221254080533981]
JYY,[-0.9427359472588261],[-0.878364086151123]
JYZ,[0.7923633416986142],[0.8121927380561829]
JZX,[-0.7402518531783084],[-0.7840976715087891]
JZY,[0.2825321585235483],[0.24530699849128723]
JZZ,[0.23915971379161394],[0.15085460245609283]
