,treino,previsto
gamma1,[0.3493243355051877],[0.34922993183135986]
gamma2,[0.16679970202499006],[0.16734321415424347]
gamma3,[0.34767461274915756],[0.34760817885398865]
gamma4,[0.03029517373803181],[0.030121121555566788]
JXX,[-0.4732993977256994],[-0.47419050335884094]
JXY,[-0.601022697802895],[-0.6008310317993164]
JXZ,[-0.8905240506758743],[-0.8899054527282715]
JYX,[-0.6123952492363249],[-0.6120230555534363]
JYY,[-0.951628553680506],[-0.9515474438667297]
JYZ,[0.38347605655689154],[0.384111225605011]
JZX,[-0.26866060598167785],[-0.2682808041572571]
JZY,[0.6311232813762566],[0.6311931610107422]
JZZ,[0.5213440527032356],[0.5217838883399963]
JIX,[-0.3524933083584687],[-0.35280361771583557]
JIY,[0.24005897043108937],[0.2401312291622162]
JIZ,[-0.9830400010208644],[-0.9830171465873718]
JXI,[0.9657155745444512],[0.9658998250961304]
JYI,[0.6443170123795019],[0.6440643668174744]
JZI,[0.9980395764003489],[0.9974937438964844]
